agent_id,o_zone_id,d_zone_id,path_id,o_node_id,d_node_id,agent_type,demand_period,volume,toll,travel_time,distance,node_sequence,link_sequence,time_sequence,time_decimal_sequence,link_travel_time_sequence,
1,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:00;0701:00;0702:00;0703:00;0704:00;0705:00;0706:00;0707:00;0708:00;0709:00;0710:00;0711:00;,420.00;421.00;422.00;423.00;424.00;425.00;426.00;427.00;428.00;429.00;430.00;431.00;,1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
2,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:00;0701:00;0702:00;0703:00;0704:00;0705:00;0706:00;0707:00;0708:00;0709:00;0710:00;0711:00;,420.00;421.00;422.02;423.02;424.02;425.02;426.02;427.02;428.02;429.02;430.02;431.02;,1.00;1.02;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
3,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:00;0701:00;0702:01;0703:01;0704:01;0705:01;0706:01;0707:01;0708:01;0709:01;0710:01;0711:01;,420.02;421.02;422.03;423.03;424.03;425.03;426.03;427.03;428.03;429.03;430.03;431.03;,1.00;1.02;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
4,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:01;0701:01;0702:02;0703:02;0704:02;0705:02;0706:02;0707:02;0708:02;0709:02;0710:02;0711:02;,420.03;421.03;422.05;423.05;424.05;425.05;426.05;427.05;428.05;429.05;430.05;431.05;,1.00;1.02;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
5,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:01;0701:02;0702:04;0703:04;0704:04;0705:04;0706:04;0707:04;0708:04;0709:04;0710:04;0711:04;,420.03;421.05;422.07;423.07;424.07;425.07;426.07;427.07;428.07;429.07;430.07;431.07;,1.02;1.02;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
6,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:02;0701:04;0702:04;0703:04;0704:05;0705:05;0706:05;0707:05;0708:05;0709:05;0710:05;0711:05;,420.05;421.07;422.07;423.07;424.08;425.08;426.08;427.08;428.08;429.08;430.08;431.08;,1.02;1.00;1.00;1.02;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
7,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:04;0701:05;0702:05;0703:05;0704:06;0705:06;0706:06;0707:06;0708:06;0709:06;0710:06;0711:06;,420.07;421.08;422.08;423.08;424.10;425.10;426.10;427.10;428.10;429.10;430.10;431.10;,1.02;1.00;1.00;1.02;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
8,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:05;0701:05;0702:05;0703:06;0704:07;0705:07;0706:07;0707:07;0708:07;0709:07;0710:07;0711:07;,420.08;421.08;422.08;423.10;424.12;425.12;426.12;427.12;428.12;429.12;430.12;431.12;,1.00;1.00;1.02;1.02;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
9,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:05;0701:06;0702:06;0703:07;0704:07;0705:07;0706:07;0707:07;0708:07;0709:07;0710:07;0711:07;,420.08;421.10;422.10;423.12;424.13;425.13;426.13;427.13;428.13;429.13;430.13;431.13;,1.02;1.00;1.02;1.02;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
10,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:06;0701:06;0702:06;0703:07;0704:08;0705:08;0706:08;0707:08;0708:08;0709:08;0710:08;0711:08;,420.10;421.10;422.10;423.12;424.15;425.15;426.15;427.15;428.15;429.15;430.15;431.15;,1.00;1.00;1.02;1.03;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
11,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:07;0701:07;0702:07;0703:07;0704:09;0705:09;0706:09;0707:09;0708:09;0709:09;0710:09;0711:09;,420.12;421.12;422.12;423.13;424.17;425.17;426.17;427.17;428.17;429.17;430.17;431.17;,1.00;1.00;1.02;1.03;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
12,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:07;0701:07;0702:07;0703:07;0704:10;0705:10;0706:10;0707:10;0708:10;0709:10;0710:10;0711:10;,420.12;421.13;422.13;423.13;424.18;425.18;426.18;427.18;428.18;429.18;430.18;431.18;,1.02;1.00;1.00;1.05;1.00;1.00;1.00;1.00;1.00;1.00;1.00;
13,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:07;0701:08;0702:08;0703:08;0704:10;0705:10;0706:10;0707:12;0708:12;0709:12;0710:12;0711:12;,420.13;421.15;422.15;423.15;424.18;425.18;426.18;427.20;428.20;429.20;430.20;431.20;,1.02;1.00;1.00;1.03;1.00;1.00;1.02;1.00;1.00;1.00;1.00;
14,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:08;0701:08;0702:08;0703:08;0704:12;0705:12;0706:12;0707:12;0708:13;0709:13;0710:13;0711:13;,420.15;421.15;422.15;423.15;424.20;425.20;426.20;427.20;428.22;429.22;430.22;431.22;,1.00;1.00;1.00;1.05;1.00;1.00;1.00;1.02;1.00;1.00;1.00;
15,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:09;0701:09;0702:09;0703:09;0704:13;0705:13;0706:13;0707:13;0708:14;0709:14;0710:14;0711:14;,420.17;421.17;422.17;423.17;424.22;425.22;426.22;427.22;428.23;429.23;430.23;431.23;,1.00;1.00;1.00;1.05;1.00;1.00;1.00;1.02;1.00;1.00;1.00;
16,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:09;0701:09;0702:09;0703:10;0704:14;0705:14;0706:14;0707:14;0708:15;0709:15;0710:15;0711:15;,420.17;421.17;422.17;423.18;424.23;425.23;426.23;427.23;428.25;429.25;430.25;431.25;,1.00;1.00;1.02;1.05;1.00;1.00;1.00;1.02;1.00;1.00;1.00;
17,1,2,0,1,2,p,AM,1,0.0,13.0118,11.0000,0,0,0,1;3;4;5;6;7;8;9;10;11;12;2;,1;2;3;4;5;6;7;10;8;9;28;,0700:10;0701:10;0702:10;0703:12;0704:14;0705:14;0706:14;0707:15;0708:15;0709:15;0710:15;0711:15;,420.18;421.18;422.18;423.20;424.23;425.23;426.23;427.25;428.27;429.27;430.27;431.27;,1.00;1.00;1.02;1.03;1.00;1.00;1.02;1.02;1.00;1.00;1.00;
